Angle (deg),Displacement (m),ux (m/s),uy (m/s)
78.89937,0.5579081,9.89115,-5.042035
78.99937,0.557295,9.892198,-5.04878
79.09937,0.5566838,9.893213,-5.055509
79.19936,0.5560735,9.894197,-5.062218
79.29936,0.5554647,9.895148,-5.068911
79.39936,0.5548574,9.896069,-5.075584
79.49936,0.5542516,9.896957,-5.08224
79.59936,0.5536466,9.897814,-5.08888
79.69936,0.5530437,9.898638,-5.095498
79.79935,0.5524418,9.899431,-5.102099
79.89935,0.5518413,9.900191,-5.108682
79.99935,0.5512418,9.90092,-5.115246
80.09935,0.5506439,9.901618,-5.121792
80.19935,0.5500475,9.902285,-5.12832
80.29935,0.5494523,9.90292,-5.134829
80.39935,0.5488584,9.903522,-5.141319
80.49934,0.5482657,9.904093,-5.14779
80.59934,0.547675,9.904632,-5.154243
80.69934,0.5470848,9.905139,-5.160676
80.79934,0.5464963,9.905616,-5.167091
80.89934,0.5459093,9.906061,-5.173487
80.99934,0.5453239,9.906474,-5.179863
81.09933,0.5447392,9.906857,-5.186221
81.19933,0.544156,9.907207,-5.192559
81.29933,0.543574,9.907526,-5.198878
81.39933,0.5429935,9.907814,-5.205178
81.49933,0.5424143,9.908071,-5.211457
81.59933,0.5418367,9.908297,-5.217719
81.69933,0.5412607,9.908491,-5.223959
81.79932,0.5406854,9.908654,-5.230181
81.89932,0.5401117,9.908786,-5.236382
81.99932,0.5395387,9.908886,-5.242564
82.09932,0.5389679,9.908956,-5.248726
82.19932,0.5383978,9.908994,-5.254869
82.29932,0.5378294,9.909001,-5.260991
82.39931,0.5372622,9.908978,-5.267094
82.49931,0.5366962,9.908923,-5.273175
82.59931,0.5361319,9.908839,-5.279237
82.69931,0.5355684,9.908723,-5.28528
82.79931,0.5350065,9.908574,-5.291301
82.89931,0.5344459,9.908397,-5.297302
82.99931,0.5338866,9.908188,-5.303283
83.0993,0.5333285,9.907948,-5.309244
83.1993,0.5327718,9.907679,-5.315184
83.2993,0.5322167,9.907377,-5.321103
83.3993,0.5316623,9.907044,-5.327002
83.4993,0.5311094,9.906683,-5.332879
83.5993,0.5305576,9.906289,-5.338737
83.6993,0.5300077,9.905865,-5.344573
83.79929,0.5294591,9.905411,-5.350388
83.89929,0.5289113,9.904926,-5.356182
83.99929,0.5283653,9.904411,-5.361956
84.09929,0.5278201,9.903866,-5.367708
84.19929,0.5272763,9.90329,-5.373439
84.29929,0.5267338,9.902683,-5.379149
84.39928,0.5261926,9.902047,-5.384837
84.49928,0.5256528,9.90138,-5.390505
84.59928,0.5251142,9.900681,-5.396151
84.69928,0.5245771,9.899955,-5.401775
84.79928,0.5240409,9.899197,-5.407377
84.89928,0.523506,9.898408,-5.412959
84.99928,0.522973,9.897591,-5.418519
85.09927,0.5224404,9.896742,-5.424057
85.19927,0.5219097,9.895864,-5.429573
85.29927,0.5213798,9.894956,-5.435067
85.39927,0.5208519,9.894018,-5.440539
85.49927,0.5203248,9.893049,-5.445989
85.59927,0.5197987,9.892051,-5.451417
85.69926,0.5192745,9.891023,-5.456823
85.79926,0.5187512,9.889965,-5.462208
85.89926,0.5182294,9.888879,-5.467569
85.99926,0.5177084,9.887759,-5.472909
86.09926,0.517189,9.886613,-5.478227
86.19926,0.516671,9.885437,-5.483521
86.29926,0.5161539,9.88423,-5.488793
86.39925,0.5156383,9.882995,-5.494042
86.49925,0.5151236,9.881729,-5.499269
86.59925,0.5146103,9.880432,-5.504475
86.69925,0.5140992,9.879109,-5.509656
86.79925,0.5135879,9.877754,-5.514816
86.89925,0.5130791,9.87637,-5.519952
86.99924,0.5125709,9.874958,-5.525066
87.09924,0.512064,9.873515,-5.530156
87.19924,0.5115583,9.872045,-5.535224
87.29924,0.511054,9.870544,-5.540267
87.39924,0.5105507,9.869014,-5.545289
87.49924,0.5100493,9.867454,-5.550288
87.59924,0.5095486,9.865866,-5.555262
87.69923,0.5090489,9.864247,-5.560214
87.79923,0.5085507,9.862601,-5.565142
87.89923,0.508054,9.860926,-5.570047
87.99923,0.5075583,9.859221,-5.574928
88.09923,0.5070642,9.857488,-5.579786
88.19923,0.5065706,9.855724,-5.584621
88.29922,0.5060787,9.853933,-5.589432
88.39922,0.5055881,9.852113,-5.594219
88.49922,0.5050988,9.850265,-5.598981
88.59922,0.5046104,9.848386,-5.603721
88.69922,0.5041236,9.84648,-5.608436
88.79922,0.5036374,9.844545,-5.613128
88.89922,0.5031533,9.842582,-5.617795
88.99921,0.5026698,9.84059,-5.622439
