Angle (deg),Displacement (m),ux (m/s),uy (m/s)
33.00007,0.8931553,5.942418,-1.258756
33.10007,0.8931537,5.95797,-1.265909
33.20007,0.8931404,5.973497,-1.273077
33.30006,0.8931152,5.989001,-1.28026
33.40006,0.8930782,6.00448,-1.287459
33.50006,0.89303,6.019934,-1.294672
33.60006,0.8929699,6.035363,-1.3019
33.70006,0.8928987,6.050767,-1.309143
33.80006,0.8928158,6.066146,-1.316401
33.90005,0.892722,6.081501,-1.323674
34.00005,0.8926169,6.09683,-1.330961
34.10005,0.8925009,6.112134,-1.338263
34.20005,0.8923739,6.127414,-1.34558
34.30005,0.892236,6.142667,-1.352911
34.40005,0.8920875,6.157896,-1.360256
34.50005,0.891928,6.173099,-1.367617
34.60004,0.8917583,6.188277,-1.374991
34.70004,0.8915781,6.20343,-1.382379
34.80004,0.8913873,6.218557,-1.389783
34.90004,0.8911864,6.233658,-1.397199
35.00004,0.8909752,6.248734,-1.40463
35.10004,0.8907539,6.263784,-1.412076
35.20004,0.8905227,6.278809,-1.419535
35.30003,0.8902815,6.293808,-1.427008
35.40003,0.8900305,6.30878,-1.434495
35.50003,0.8897696,6.323728,-1.441996
35.60003,0.8894994,6.338649,-1.44951
35.70003,0.8892194,6.353544,-1.457038
35.80003,0.8889299,6.368413,-1.46458
35.90002,0.888631,6.383256,-1.472135
36.00002,0.8883229,6.398073,-1.479704
36.10002,0.8880058,6.412865,-1.487286
36.20002,0.8876795,6.427629,-1.494882
36.30002,0.8873439,6.442367,-1.502491
36.40002,0.8869996,6.457079,-1.510113
36.50002,0.8866464,6.471765,-1.517749
36.60001,0.8862845,6.486423,-1.525397
36.70001,0.8859139,6.501056,-1.533059
36.80001,0.8855348,6.515662,-1.540733
36.90001,0.8851472,6.530241,-1.548421
37.00001,0.8847511,6.544795,-1.556121
37.10001,0.8843467,6.55932,-1.563835
37.2,0.8839341,6.573819,-1.57156
37.3,0.8835135,6.588292,-1.579299
37.4,0.8830847,6.602737,-1.58705
37.5,0.882648,6.617157,-1.594814
37.6,0.8822032,6.631547,-1.60259
37.7,0.8817509,6.645913,-1.610379
37.8,0.8812907,6.66025,-1.61818
37.89999,0.8808228,6.67456,-1.625994
37.99999,0.8803475,6.688844,-1.63382
38.09999,0.8798646,6.703099,-1.641657
38.19999,0.8793744,6.717328,-1.649507
38.29999,0.8788769,6.73153,-1.657369
38.39999,0.878372,6.745704,-1.665244
38.49998,0.8778602,6.759851,-1.673129
38.59998,0.8773413,6.77397,-1.681027
38.69998,0.8768154,6.788061,-1.688937
38.79998,0.8762825,6.802126,-1.696858
38.89998,0.8757428,6.816162,-1.704791
38.99998,0.8751967,6.830171,-1.712736
39.09998,0.8746434,6.844151,-1.720692
39.19997,0.874084,6.858106,-1.728659
39.29997,0.8735178,6.872031,-1.736638
39.39997,0.8729452,6.885928,-1.744629
39.49997,0.8723664,6.899797,-1.75263
39.59997,0.8717811,6.91364,-1.760643
39.69997,0.8711895,6.927454,-1.768667
39.79996,0.8705919,6.941238,-1.776702
39.89996,0.8699887,6.954997,-1.784748
39.99996,0.869379,6.968726,-1.792805
40.09996,0.8687637,6.982427,-1.800873
40.19996,0.8681425,6.9961,-1.808952
40.29996,0.8675153,7.009745,-1.817041
40.39996,0.8668827,7.023361,-1.825141
40.49995,0.8662444,7.03695,-1.833252
40.59995,0.8656006,7.050509,-1.841373
40.69995,0.8649513,7.06404,-1.849505
40.79995,0.8642968,7.077544,-1.857647
40.89995,0.8636367,7.091017,-1.8658
40.99995,0.8629715,7.104463,-1.873962
41.09995,0.862301,7.11788,-1.882136
41.19994,0.8616255,7.131268,-1.890319
41.29994,0.860945,7.144628,-1.898512
41.39994,0.8602595,7.157958,-1.906715
41.49994,0.859569,7.171259,-1.914929
41.59994,0.8588737,7.184533,-1.923151
41.69994,0.8581738,7.197776,-1.931384
41.79993,0.857469,7.210991,-1.939627
41.89993,0.8567596,7.224177,-1.947879
41.99993,0.8560455,7.237333,-1.956141
42.09993,0.8553271,7.250462,-1.964413
42.19993,0.8546044,7.263561,-1.972693
42.29993,0.8538771,7.27663,-1.980983
42.39993,0.8531456,7.289671,-1.989283
42.49992,0.8524097,7.302681,-1.997592
42.59992,0.8516696,7.315663,-2.00591
42.69992,0.8509254,7.328616,-2.014238
42.79992,0.8501774,7.341538,-2.022573
42.89992,0.849425,7.354432,-2.030919
42.99992,0.8486691,7.367297,-2.039273
43.09991,0.8479091,7.380131,-2.047636
43.19991,0.8471454,7.392936,-2.056008
43.29991,0.8463777,7.405712,-2.064389
43.39991,0.8456064,7.418458,-2.072778
43.49991,0.8448315,7.431174,-2.081176
43.59991,0.8440531,7.443861,-2.089582
43.69991,0.8432712,7.456517,-2.097996
43.7999,0.8424855,7.469144,-2.10642
43.8999,0.8416967,7.481741,-2.114851
43.9999,0.8409046,7.494309,-2.12329
44.0999,0.840109,7.506845,-2.131738
44.1999,0.8393102,7.519352,-2.140194
44.2999,0.8385081,7.531829,-2.148658
44.39989,0.8377033,7.544278,-2.15713
44.49989,0.836895,7.556694,-2.165609
44.59989,0.8360839,7.569082,-2.174097
44.69989,0.8352699,7.581439,-2.182592
44.79989,0.8344525,7.593765,-2.191095
44.89989,0.8336326,7.606062,-2.199606
44.99989,0.8328099,7.618327,-2.208124
45.09988,0.8319843,7.630564,-2.21665
45.19988,0.8311561,7.642769,-2.225182
45.29988,0.8303254,7.654945,-2.233722
45.39988,0.829492,7.66709,-2.24227
45.49988,0.828656,7.679204,-2.250824
45.59988,0.8278172,7.691288,-2.259386
45.69987,0.8269762,7.703341,-2.267955
45.79987,0.8261327,7.715363,-2.27653
45.89987,0.825287,7.727356,-2.285113
45.99987,0.8244389,7.739317,-2.293702
46.09987,0.8235884,7.751247,-2.302299
46.19987,0.8227357,7.763148,-2.310902
46.29987,0.8218811,7.775018,-2.319511
46.39986,0.8210243,7.786856,-2.328127
46.49986,0.8201651,7.798664,-2.336749
46.59986,0.8193042,7.810441,-2.345378
46.69986,0.8184411,7.822186,-2.354013
46.79986,0.8175761,7.833902,-2.362655
46.89986,0.8167092,7.845586,-2.371302
46.99986,0.8158405,7.85724,-2.379956
47.09985,0.8149698,7.868862,-2.388616
47.19985,0.8140973,7.880453,-2.397281
47.29985,0.8132232,7.892013,-2.405952
47.39985,0.8123472,7.903542,-2.41463
47.49985,0.8114701,7.91504,-2.423312
47.59985,0.810591,7.926507,-2.432001
47.69984,0.8097101,7.937942,-2.440696
47.79984,0.8088279,7.949345,-2.449396
47.89984,0.8079442,7.960718,-2.458101
47.99984,0.807059,7.97206,-2.466812
48.09984,0.8061726,7.98337,-2.475528
48.19984,0.8052846,7.994648,-2.484248
48.29984,0.8043953,8.005897,-2.492976
48.39983,0.8035048,8.017113,-2.501706
48.49983,0.8026126,8.028296,-2.510444
48.59983,0.8017194,8.039448,-2.519185
48.69983,0.8008254,8.050571,-2.527931
48.79983,0.79993,8.061661,-2.536682
48.89983,0.7990332,8.072718,-2.545438
48.99982,0.7981357,8.083745,-2.554198
49.09982,0.7972368,8.09474,-2.562963
49.19982,0.7963372,8.105703,-2.571733
49.29982,0.7954364,8.116634,-2.580507
49.39982,0.7945349,8.127534,-2.589285
49.49982,0.7936324,8.138402,-2.598067
49.59982,0.7927287,8.149238,-2.606854
49.69981,0.7918244,8.160043,-2.615645
49.79981,0.7909195,8.170815,-2.62444
49.89981,0.7900134,8.181557,-2.63324
49.99981,0.7891067,8.192264,-2.642042
50.09981,0.7881995,8.202941,-2.650849
50.19981,0.7872913,8.213586,-2.659659
50.2998,0.7863826,8.224198,-2.668473
50.3998,0.7854732,8.234779,-2.677291
50.4998,0.7845631,8.245327,-2.686112
50.5998,0.7836527,8.255844,-2.694937
50.6998,0.7827415,8.266328,-2.703765
50.7998,0.7818299,8.27678,-2.712597
50.8998,0.7809178,8.287199,-2.721432
50.99979,0.7800053,8.297587,-2.730269
51.09979,0.7790925,8.307944,-2.73911
51.19979,0.7781792,8.318267,-2.747954
51.29979,0.7772653,8.328558,-2.756801
51.39979,0.7763513,8.338817,-2.765651
51.49979,0.7754367,8.349042,-2.774503
51.59978,0.7745223,8.359238,-2.783359
51.69978,0.7736072,8.369398,-2.792216
51.79978,0.7726921,8.379528,-2.801078
51.89978,0.7717766,8.389625,-2.80994
51.99978,0.770861,8.399688,-2.818806
52.09978,0.7699452,8.409719,-2.827674
52.19978,0.7690297,8.419721,-2.836544
52.29977,0.7681134,8.429686,-2.845416
52.39977,0.7671973,8.439621,-2.85429
52.49977,0.7662812,8.449523,-2.863167
52.59977,0.7653649,8.459392,-2.872046
52.69977,0.7644489,8.469228,-2.880926
52.79977,0.7635326,8.479032,-2.889808
52.89977,0.7626166,8.488803,-2.898691
52.99976,0.7617003,8.498542,-2.907578
53.09976,0.7607844,8.508246,-2.916464
53.19976,0.7598684,8.51792,-2.925353
53.29976,0.7589526,8.52756,-2.934243
53.39976,0.7580368,8.537168,-2.943135
53.49976,0.7571213,8.546741,-2.952027
53.59975,0.7562059,8.556284,-2.960921
53.69975,0.7552907,8.565793,-2.969817
53.79975,0.7543759,8.575269,-2.978713
53.89975,0.7534613,8.584712,-2.987609
53.99975,0.7525468,8.594123,-2.996508
54.09975,0.7516326,8.6035,-3.005407
54.19975,0.7507187,8.612844,-3.014306
54.29974,0.7498052,8.622156,-3.023207
54.39974,0.7488921,8.631434,-3.032108
54.49974,0.7479791,8.640679,-3.041009
54.59974,0.7470666,8.649892,-3.049911
54.69974,0.7461545,8.659071,-3.058814
54.79974,0.7452428,8.668218,-3.067717
54.89973,0.7443317,8.677331,-3.076619
54.99973,0.743421,8.686411,-3.085522
55.09973,0.7425105,8.695457,-3.094426
55.19973,0.7416006,8.704473,-3.103329
55.29973,0.7406912,8.713452,-3.112232
55.39973,0.7397824,8.7224,-3.121135
55.49973,0.7388741,8.731313,-3.130038
55.59972,0.7379665,8.740195,-3.138939
55.69972,0.7370591,8.749043,-3.147842
55.79972,0.7361526,8.757857,-3.156743
55.89972,0.7352464,8.766639,-3.165645
55.99972,0.734341,8.775386,-3.174545
56.09972,0.7334361,8.784101,-3.183445
56.19971,0.7325321,8.792784,-3.192344
56.29971,0.7316287,8.801431,-3.201242
56.39971,0.7307255,8.810046,-3.210139
56.49971,0.7298235,8.818627,-3.219036
56.59971,0.7289219,8.827175,-3.227931
56.69971,0.7280211,8.835689,-3.236825
56.79971,0.7271213,8.844172,-3.245718
56.8997,0.7262222,8.852618,-3.254609
56.9997,0.7253233,8.861033,-3.263499
57.0997,0.7244256,8.869413,-3.272389
57.1997,0.7235282,8.877761,-3.281275
57.2997,0.7226322,8.886076,-3.290161
57.3997,0.7217368,8.894356,-3.299045
57.49969,0.7208422,8.902601,-3.307927
57.59969,0.7199484,8.910814,-3.316808
57.69969,0.7190555,8.918994,-3.325686
57.79969,0.7181632,8.927141,-3.334563
57.89969,0.7172718,8.935253,-3.343437
